sentence_id;sentence;label;label_class
0;The April Witch is a fantasy short story by Ray Bradbury.[citation needed];13;WrittenWork
1;Periscepsia handlirschi is a species of fly in the family Tachinidae.;9;Animal
2;Exter is a river of Lower Saxony Germany.;7;NaturalPlace
3;A Tale for the Time Being is a novel by Ruth L. Ozeki narrated by two characters a sixteen-year-old girl in Tokyo who keeps a diary and a writer living on an island off British Columbia who finds the diary washed up on shore some time after the 2011 tsunami that devastated Japan.;13;WrittenWork
4;Genalvo da Silva Oliveira (born 5 January 1982) is a Brazilian footballer who plays for Tupi as a midfielder.;3;Athlete
5;Sanyasi is a 1975 Hindi film directed by Sohanlal Kanwar and starring Manoj Kumar and Hema Malini as leads.;12;Film
6;Hum Dono is an Indian film starring Rishi Kapoor Nana Patekar and Pooja Bhatt which was released in 1995.;12;Film
7;DFS formerly Direct Furnishing Supplies is an international furniture retailer in the United Kingdom and Ireland which specialises in sofas and soft furnishings.;0;Company
8;Gregory S. Greg Fitzsimmons (born April 5 1966) is an American stand-up comedian television writer/producer and radio host.;2;Artist
9;Sue Hodge (born 4 June 1957 in Orsett Essex) is a British actress best known for her role as the waitress Mimi Labonq in the BBC sitcom 'Allo 'Allo!.;2;Artist
10;Kairos is an EP released by Philadelphia post-hardcore band This Day Forward.;11;Album
11;Synanthes is a genus of flowering plants from the orchid family Orchidaceae.;10;Plant
12;The Lily of the Tenements is a 1911 American short silent drama film directed by D. W. Griffith starring Clara T. Bracy and featuring Blanche Sweet.;12;Film
13;Jermaine Gavin White (born January 13 1982 in Gary Indiana) is a professional boxer in the Junior Welterweight division and is the former Indiana Boxing Association Welterweight Champion.;3;Athlete
14;Capreolus is a genus of deer with at least two extant species: Capreolus capreolus (European roe deer) Capreolus pygargus (Siberian roe deer);9;Animal
15;Crudaria is a genus of butterfly in the family Lycaenidae.;9;Animal
16;Matthias Plachta (born May 16 1991) is a German professional ice hockey player who is currently playing for Adler Mannheim in the Deutsche Eishockey Liga (DEL).;3;Athlete
17;Pseudelyptron is a genus of moths of the Noctuidae family.;9;Animal
18;Louder Now is the third album by American rock band Taking Back Sunday released on April 25 2006 through Hollywood Records.;11;Album
19;RayaJet (or RAYAJET or Raya Jet) is an airline based in Amman Jordan which was launched in April 2005 and specializes in private jet charters.;0;Company
20;The National Association for Special Educational Needs (NASEN) is an education and development charitable organisation based in the United Kingdom which aims to promote the education training advancement and development of all those with special and additional support needs.;0;Company
21;The Enoree River is a tributary of the Broad River 85 mi (137 km) long in northwestern South Carolina in the United States.;7;NaturalPlace
22;Proutictis is a genus of moth in the family Geometridae.;9;Animal
23;The Ref (Hostile Hostages in some countries) is a 1994 American black comedy film directed by Ted Demme produced by Don Simpson and Jerry Bruckheimer and starring Denis Leary Judy Davis and Kevin Spacey.;12;Film
24;The Butucari River is a tributary of the Moreni River in Romania.;7;NaturalPlace
25;Shadrach is a 1998 American film directed by Susanna Styron based on a short story by her father William Styron about a former slave's struggle to be buried where he chooses.;12;Film
26;Broken Hill is a 2009 drama film directed and written by Dagen Merrill and stars Luke Arnold Alexa Vega and in a supporting role Timothy Hutton.;12;Film
27;Jonah Blank is an American author journalist and foreign policy expert specializing in the culture history and affairs of the Indian subcontinent.;2;Artist
28;Austin Hall is a registered historic building in Delaware Ohio listed in the National Register on March 18 1985.;6;Building
29;Nicola Benedetti MBE (born 20 July 1987) is a Scottish classical violinist.;2;Artist
30;Pseudotolna is a genus of moths of the Noctuidae family.;9;Animal
31;Isaiah Major (born January 9 1970 Chicago Illinois United States) best known as DJ Rush is an American musician DJ and record producer of electronic music.;2;Artist
32;The Adventure was a wooden Sloop built in 1834 at Brisbane Water that was wrecked whilst in a storm with the exact position where it was lost on New South Wales coast being unsure during July 1836.;5;MeanOfTransportation
33;The Nexus Mustang is a two place homebuilt aircraft designed around the construction techniques of the Midget Mustang.;5;MeanOfTransportation
34;Maharashtra Knowledge Corporation Limited is a public limited company promoted by the Department of Higher and Technical Education Government of Maharashtra India.;0;Company
35;Dhruvasangamam is a 1981 Malayalam-language Indian feature film directed by J. Sasikumar starring Sukumaran Shubha Reena K. P. Ummer and Mohanlal in lead roles.;12;Film
36;Soulnik is the second of two albums led by American jazz bassist Doug Watkins featuring tracks recorded in 1960 and released on the New Jazz label.;11;Album
37;Ruellia stenandrium is a plant native of Cerrado vegetation of Brazil.;10;Plant
38;For Rent: One Grammy One Gramps is a young adult fiction novel by Ivy Duffy Doherty published 1982.;13;WrittenWork
39;Fanie de Jager (born 8 April 1949) is a South African operatic tenor and singer of light classical music.;2;Artist
40;USS Oldendorf (DD-972) named for Admiral Jesse B. Oldendorf USN was a Spruance-class destroyer built by the Ingalls Shipbuilding Division of Litton Industries at Pascagoula Mississippi.;5;MeanOfTransportation
41;Triscaedecia is a genus of moth in the Alucitidae family.;9;Animal
42;Selemani Jumanne Zedi (born 28 October 1965) is a Tanzanian CCM politician and Member of Parliament for Bukene constituency since 2010.;4;OfficeHolder
43;The Property Man is a short 1914 American comedy silent film made by Keystone Studios starring Charlie Chaplin.;12;Film
44;Neil Donald Cole (born 25 May 1957) is an Australian playwright researcher and former politician.;4;OfficeHolder
45;Chris Reed also known as Plastician (formerly Plasticman) is a electronic musician from Thornton Heath in the London Borough of Croydon.;2;Artist
