sentence_id;sentence;label;label_class
0;Bangladesh paralysed by strikes Opposition activists have brought many towns and cities in Bangladesh to a halt, the day after 18 people died in explosions at a political rally.;0;World
1;Desiring Stability Redskins coach Joe Gibbs expects few major personnel changes in the offseason and wants to instill a culture of stability in Washington.;1;Sports
2;U2 pitches for Apple New iTunes ads airing during baseball games Tuesday will feature the advertising-shy Irish rockers.;3;Sci/Tech
3;S African TV in beheading blunder Public broadcaster SABC apologises after news bulletin shows footage of American beheaded in Iraq.;0;World
4;A Cosmic Storm: When Galaxy Clusters Collide Astronomers have found what they are calling the perfect cosmic storm, a galaxy cluster pile-up so powerful its energy output is second only to the Big Bang.;3;Sci/Tech
5;West sets deadline for Iran to freeze uranium enrichment Four western countries set the scene yesterday for a showdown with Iran by demanding that it freeze its uranium enrichment activities immediately.;0;World
6;CA Opens Utility Pricing for Mainframes Keeping its promise to migrate toward more flexible pricing for its software, Computer Associates (Quote, Chart) has unleashed Measured Workload Pricing for its mainframe management products.;3;Sci/Tech
7;Economy builds steam in KC Fed district The economy continued to strengthen in September and early October in the Great Plains and Rocky Mountain regions covered by the Tenth Federal Reserve District, the Federal Reserve Bank of Kansas City said Wednesday.;2;Business
8;RBC Centura CEO steps down RALEIGH, NC - The head of RBC Centura Bank has stepped down, and his successor will run the bank out of Raleigh rather than Rocky Mount, where the bank is based.;2;Business
9;Paris Marks Liberation Mindful of Collaboration With solemn commemorations, a ceremonial flag-raising at the Eiffel Tower and columns of 1940s-era tanks and army jeeps, Parisians on Wednesday marked the 60th anniversary;0;World
10;Oracle acquisition of PeopleSoft leads flurry of deals NEW YORK (CBS.MW) -- US stocks closed higher Monday, with the Dow Jones Industrial Average ending at its best level in more than nine months amid better-than-expected economic data and merger-related optimism.;2;Business
11;Cisco switch products target small business Company aggressively addresses smaller businesses with products that reduce the cost and complexity of operating a Cisco network.;3;Sci/Tech
12;Quantum Snags LTO Rival Certance After preaching the superiority of its DLT tape format for years, Quantum has up and bought Certance, a key maker of the rival LTO format.;3;Sci/Tech
13;Milosevic trial suspended The trial of Slobodan Milosevic has been suspended in Hague to allow the defense lawyers assigned to the former Yugoslav president more time to prepare their case.;0;World
14;Merger could affect Nextel Partners The proposed \$35 billion merger of Sprint Corp. and Nextel Communications could mean changes for Kirkland-based Nextel Partners Inc.;2;Business
15;Web site pictures Photo iPod for holidays A Mac news site says iPods that display digital photos may be under Christmas trees this year.;3;Sci/Tech
16;Shanahan says he intends to honour his deal with Broncos Trying to defuse rumours he might be leaving soon, Denver Broncos coach Mike Shanahan said Thursday night he intends to honour the final four years of his contract.;1;Sports
17;Expectations Low for Georgia Basketball (AP) AP - Georgia is likely to have a dismal season on the basketball court.;1;Sports
18;Sharon death threats spark probe Israeli police examine death threats against Prime Minister Ariel Sharon, amid mounting opposition to his Gaza pullout plan.;0;World
19;Fragile Arsenal need to shake off fallout from Old Trafford EIGHT days after the Game of the Decade gave way to the Battle of the Buffet before turning into a war of words between Arsenal and Manchester United;1;Sports
20;Federer, Moya Dodge the Rain and Post Masters Cup Wins Ending after midnight due to rain delays, Roger Federer finally put his second round robin match in the books early Thursday morning at the ATP Tennis Masters Cup in Houston, defeating Lleyton Hewitt for the fifth consecutive time 6-3, 6-4.;1;Sports
21;Virus poses as Christmas e-mail A computer virus posing as an electronic Christmas card is spreading across the net in many languages.;0;World
22;Rumsfeld Sees U.S. Troops Leaving Iraq Within 4 Years The defense secretary also cautioned that any final decision hinged on the progress of Iraq's new government.;0;World
